client,conseiller,client_preprocessed
"Bonjour, j'aimerais avoir des informations sur les crédits que vous proposez.","Bonjour, bien sûr ! Nous proposons plusieurs types de crédits, notamment pour les salariés et les entrepreneurs. Souhaitez-vous des détails sur un profil en particulier ?",
Je suis salarié dans la fonction publique.,"Parfait. Pour les salariés, nous proposons un crédit à la consommation à taux préférentiel, remboursable sur une durée allant jusqu’à 48 mois. Il peut être souscrit rapidement avec une simple cession sur salaire.",
Et pour les entrepreneurs ?,"Pour les entrepreneurs, nous offrons un crédit à l’entrepreneuriat qui finance les besoins en fonds de roulement ou les investissements. L’étude de dossier est personnalisée et les garanties peuvent être souples selon l’activité.",
Quels types de comptes sont disponibles ?,"Nous proposons le compte courant pour les opérations quotidiennes, l’épargne spéciale qui rapporte des intérêts, l’épargne projet pour planifier un objectif, et le dépôt à terme (DAT) avec un rendement fixe garanti.",
Quels sont les avantages de l’épargne projet ?,"Avec l’épargne projet, vous définissez un objectif (étude, voyage, achat...) et vous épargnez à votre rythme. Le taux est bonifié si vous atteignez votre objectif dans les délais.",
Puis-je recevoir les relevés par email ?,Absolument. Il suffit d’activer le service e-relevé pour recevoir vos relevés mensuels de compte par email gratuitement.,
Quels sont les avantages du dépôt à terme ?,"Le dépôt à terme vous permet de placer votre argent pour une durée fixe avec un taux d’intérêt garanti, plus élevé que les comptes d’épargne classique.",
Comment ouvrir un compte courant chez vous ?,"Vous pouvez ouvrir un compte courant en agence avec une pièce d'identité, un justificatif de domicile et une photo d'identité.",
Est-ce que je peux obtenir un crédit si je suis auto-entrepreneur ?,"Oui, nous étudions les dossiers des auto-entrepreneurs. Il faudra présenter un plan d’activité et des preuves de revenus réguliers.",
Les comptes sont-ils accessibles via une application mobile ?,"Oui, notre application SAMA ACEP permet de consulter votre solde, effectuer des virements, et bien plus encore depuis votre smartphone.",
Je souhaite clôturer mon compte. Quelles sont les démarches ?,"Pour clôturer votre compte, vous devez vous rendre en agence avec une pièce d'identité. Nous procéderons à la fermeture après vérification de votre solde et retrait de votre part sociale.",
Y a-t-il des frais pour clôturer un compte ?,"Non, la clôture est gratuite. Cependant, assurez-vous que tous vos chèques et virements sont réglés avant la demande.",
Quel est le taux d'intérêt pour le dépôt à terme ?,"Le taux d’intérêt pour le dépôt à terme varie selon la durée : 4% pour 6 mois, 5,5% pour 12 mois et jusqu’à 7% pour 24 mois.",
Quel est le taux préférentiel pour les prêts aux salariés ?,"Le taux préférentiel pour les prêts aux salariés débute à 7,9% l’an, avec des conditions avantageuses pour les fonctionnaires et employés du privé avec contrat à durée indéterminée.",
Quel est le taux pour les crédits aux entrepreneurs ?,"Le taux pour les crédits aux entrepreneurs dépend du type d’activité et des garanties, généralement entre 10% et 14% par an.",
Quels sont les avantages de domicilier mon salaire chez vous ?,"En domiciliant votre salaire chez nous, vous bénéficiez d’un accès facilité au crédit, de frais réduits sur les virements, et d’une priorité dans le traitement de vos demandes.",
Est-ce obligatoire de domicilier son salaire pour obtenir un prêt ?,"Ce n’est pas obligatoire, mais fortement recommandé. La domiciliation renforce votre profil emprunteur et peut vous donner accès à un taux d’intérêt plus avantageux.",
Puis-je changer de domiciliation de salaire vers votre institution ?,"Oui, vous pouvez transférer la domiciliation en fournissant une lettre de demande et une autorisation de votre employeur. Nous vous assistons dans cette démarche.",
